operator name:classifier  operator time:0.4879
operator name:classifier.bn1  operator time:0.3575
operator name:classifier.bn2  operator time:0.3462
operator name:classifier.encoder  operator time:4.6275
operator name:classifier.fc1  operator time:2.1279
operator name:classifier.fc2  operator time:0.7551
operator name:classifier.fc3  operator time:0.3070
operator name:classifier.relu1  operator time:0.0061
operator name:classifier.relu2  operator time:0.0557
operator name:feat.bmm1  operator time:0.0203
operator name:feat.bmm2  operator time:0.2108
operator name:feat.bn1  operator time:0.4191
operator name:feat.bn2  operator time:0.3793
operator name:feat.bn3  operator time:0.6178
operator name:feat.conv1  operator time:0.7338
operator name:feat.conv2  operator time:1.2179
operator name:feat.conv3  operator time:5.5468
operator name:feat.fstn.bn1  operator time:0.4218
operator name:feat.fstn.bn2  operator time:0.4473
operator name:feat.fstn.bn3  operator time:0.6194
operator name:feat.fstn.bn4  operator time:0.4274
operator name:feat.fstn.bn5  operator time:0.4051
operator name:feat.fstn.conv1  operator time:0.5989
operator name:feat.fstn.conv2  operator time:0.8451
operator name:feat.fstn.conv3  operator time:5.5655
operator name:feat.fstn.fc1  operator time:6.6336
operator name:feat.fstn.fc2  operator time:0.7275
operator name:feat.fstn.fc3  operator time:1.1480
operator name:feat.fstn.max  operator time:0.6337
operator name:feat.fstn.relu1  operator time:0.0259
operator name:feat.fstn.relu2  operator time:0.0060
operator name:feat.fstn.relu3  operator time:0.0131
operator name:feat.fstn.relu4  operator time:0.0066
operator name:feat.fstn.relu5  operator time:0.0069
operator name:feat.fstn.self_add  operator time:0.0297
operator name:feat.max  operator time:0.2256
operator name:feat.relu1  operator time:0.0058
operator name:feat.relu2  operator time:0.0058
operator name:feat.stn.bn1  operator time:0.4121
operator name:feat.stn.bn2  operator time:0.4472
operator name:feat.stn.bn3  operator time:0.6473
operator name:feat.stn.bn4  operator time:0.4002
operator name:feat.stn.bn5  operator time:0.3647
operator name:feat.stn.conv1  operator time:0.4982
operator name:feat.stn.conv2  operator time:0.8103
operator name:feat.stn.conv3  operator time:5.5108
operator name:feat.stn.fc1  operator time:6.7177
operator name:feat.stn.fc2  operator time:0.7497
operator name:feat.stn.fc3  operator time:0.3399
operator name:feat.stn.max  operator time:0.6277
operator name:feat.stn.relu1  operator time:0.0130
operator name:feat.stn.relu2  operator time:0.0060
operator name:feat.stn.relu3  operator time:0.0124
operator name:feat.stn.relu4  operator time:0.0059
operator name:feat.stn.relu5  operator time:0.0205
operator name:feat.stn.self_add  operator time:0.0998
operator name:feat.stn3d  operator time:0.0564
operator name:feat.stnkd  operator time:0.0567
operator name:fstn.start  operator time:0.1538
operator name:pointnet  operator time:0.0019
operator name:stn.start  operator time:0.0010
